Review,author,date,rating,restaurant
"[""My dinner (Clemson bowl with beef and egg added) was delicious and the hot jasmine tea was a great way to warm up on a chilly evening. This review would have been 5 stars because it's also an excellent value but there was a bit of a wait and seemed like they must be down at least 1 server but definitely worth the trip and a place I look forward to visiting again!""]",['Naomi H.'],['\n        1/14/2019\n    '],['4.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Small divey Asian place. \xa0I ordered the Popeye beef bowl with sautéed spinach , white rice, and a fried egg on top. It came in a 500 degree bowl which kept my food sizzling for 20 min. \xa0The bowls are so hot they come on a wood plank which has black burn marks from the bowls.']",['Bryan L.'],['\n        7/28/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Got some bibimbap takeout. It seems like most people coming here are getting takeout. You can choose what kind of rice you want; I got brown rice. The hotel was only two minutes away, but the food was lukewarm when I got there. The egg was also cooked instead of liquidy as I would prefer.', ""The veggies were very generous, and they have to go cups for the hot sauce as well. You'll only get chopsticks if you ask, otherwise they put in a fork. It all tasted pretty good, although I missed the crunchy rice you get when it's served in a stone bowl with egg to stick it together""]",['Elli E.'],['\n        6/30/2018\n    '],['4.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""A tasty experience. I'm an out of towner and dropped in because I was curious from the good yelp reviews. \xa0The place isn't much to look at, a strip mall hole in the wall with boxes of utensils and cups stored wherever they had room, etc. But it is clean and tidy. \xa0I got the tiger (spicy pork, kimchi, avocado, egg on top) rice bowl at the suggestion of the girl at the counter. Not too spicy but piping hot, and quite tasty. They make their own very tasty ginger ale in house as well. \xa0In all I was happy with my meal and at a reasonable price. \xa0I will be back next time I'm passing through town.""]",['Rick D.'],['\n        6/11/2018\n    '],['4.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Wow! I was here for a quick visit and was desperately looking for something quick that was not fried and not bar food. I navigated around the ordering kiosk (I had already researched my choices to death!) and left with a beef, broccoli & avocado bowl topped with an easy over egg and a much needed kombucha. The kombucha was housemade and sweeter than I'm accustomed to but it was pretty good. The bowl was absolutely awesome. Fresh, good flavor, well prepared! Definitely try it if you are in the area :)""]",['h p.'],['\n        4/12/2019\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""I've eaten here 12-15 times and it's always consistently excellent. It's probably not the best choice if you're in a rush but it is the best choice for some superb Korean bibimbap.""]",['Edward F.'],['\n        12/15/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['Love the vibe. The staff are very nice and the food is delicious. \xa0I will be back. \xa0They also have gluten free.'],['Deborah W.'],['\n        11/1/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['Great place to mix up the regular week day. Went with a friend because we were bored of the chickfila and moes and we ended up finding a new place we love. Will be back to every week. Awesome ingredients made to order. 10/10 would recommend'],['Marshall C.'],['\n        10/9/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['I like to thank #yelp for this find! So while I was helping my friend we were looking for something good to eat in Clemson, South Carolina. I saw Yolk had nearly a 5 star rating so we have it a shot! They had like 15 locally themed ride bowls. \xa0My friend got ""Tiger"" bowl which consisted of marinated beef, kimchi, avocado, and rice. It was very good! I got the ""Trinity"" bowl, which consisted of pork belly, tofu, kimchi, and rice. Mine was also good, but my friend\'s was better. Every bowl comes with an egg on top, and 99% of them are only $10. They also had some really good iced green tea which was only $2! I will definitely go back if I\'m in the area again.']",['Cory C.'],['\n        8/9/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['This is my favorite $10 bowl. \xa0Cozy, small and friendly. Love the name, \xa0the yolk cooks in your hot amazing rice bowl! \xa0Great college town food. \xa0Super sweet and friendly owner!']",['Lee C.'],['\n        2/11/2018\n    '],['4.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Very unique concept, the food was delicious and very flavorful. The service was fast and overall a good experience although when i walked in I was a little skeptical based off of the appearance of the place. I got the veggie bowl with tofu, brussel sprouts, mushrooms, and broccoli.']",['Gabby R.'],['\n        8/13/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['We went to this amazing restaurant last night and we were not disappointed! We started with the Ramen of the day which was Spicy. It was excellent and not too spicy but had a ton of flavor! Next I got the Seoul Bowl and my husband got the Clemson. Both of these had so much flavor!!! Yolk was truly amazing.'],['F F.'],['\n        7/18/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""I've been here a couple of times and honestly it's better each time I go. I'm half Korean so I'm all about authenticity when it comes to Korean food. While it's not your typical full-menu Korean restaurant, I think they've done a good job of adapting Korean food to an American population. I usually get their Samgyeopsal (Pork Belly) bowl and I'm usually more than satisfied with it. I just wish the portions they gave were bigger but being the only Korean spot that I know of in this area, I won't complain too much. Oh yeah, if you're a fan of Kimchi, theirs is great! I wish I could buy a whole jar of it!""]",['Chalah L.'],['\n        7/12/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['When we walked in no customers were there and the only employee was sitting in the back and seemed annoyed that we came in. No hello, no welcome... just stood up, walked to the counter, and looked at us while we decided what we wanted to eat. Food was good but for a $12 bowl of food we got $1 worth of protein, and $11 ""worth"" of rice and veggies. Would have ordered extra protein but $5 for extra seemed excessive. Restaurant was dark and table was sticky. Meal for 2 was $30. Food flavor gets 4 stars. Atmosphere 2 stars. Staff 1 star. Food value 2 stars.']",['Rob S.'],['\n        10/14/2017\n    '],['3.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Great food! 1st time here. Liked it a lot. Tip: You can ask for a kimchi on the side for $3. It's very authentic.""]",['Cindy J.'],['\n        10/27/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Good for the soul rice bowl done just right. Don't let the look of the place put you off, it's a simple one cooktop one chef little place tucked away in a small strip mall off 123. Choose from a great selection of specials or create your own, hot and crispy rice with a fried egg topping every bowl makes this a winner any time the weather is cool or you need to fill up.""]",['Stephen C.'],['\n        4/15/2018\n    '],['4.0 star rating'],"['Yolk Asian', 'Kitchen']"
['Super good!! I always get the tiger bowl and a sweet green tea. You get a ton of food and free refills. The workers are always so kind and happy. I love dining here'],['Shelly B.'],['\n        1/26/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Anytime I am in Clemson this is where I want to eat. The piping hot rice bowls come with every imaginable ingredient. Today I had brown rice, beef, caramelized onions and avocado. \xa0Delicious!!!! Oh, and of course a sunny side egg on top is the crowning glory. \xa0Friendly folks, too!']",['Marty M.'],['\n        5/5/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""This place rocks. The Indiana bowl is really good and the chef seems to really love cooking. He's always working hard. There are many options that are there if you are open to different options. The seating could be improved though""]",['Ben W.'],['\n        3/27/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['In town for a couple of days and so glad that once again Yelp showed me a winner! I knew what I was going to order, even before I walked in the door. Had the bulgogi bowl... Awesome!!! I have had plenty of Korean food - I usually expect a lot , boy am I so happy ! Nice hot bowl, well seasoned beef, onions and mushrooms. \xa0Large portion size, it was so good, but I had to stop myself from eating it all! So lucky me - I have plenty for later.', ""Wish this sweet spot was located in my town , should I ever be back this way - this will be my first stop - it's that good! (Maybe I can fit in one more meal before I leave!)""]",['Georgette R.'],['\n        3/4/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['Hands down my favorite place to eat in Clemson. I recommend any bowl with the spicy pork or the spicy pork tacos. Service is great and they are all very friendly.'],['Leah K.'],['\n        3/19/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Driving through Clemson & wanted a good afternoon lunch. Happy to find this highly recommended restaurant on the way.', 'So many choices! The list of homemade beverages, including kombucha, sweet ginger iced tea, ginger ale, and numerous teas was impressive. I ordered the sweet ginger tea, which had a delicious cinnamon boost. (It is extremely sweet.)', ""Though there are many meals to choose from, we both ordered the bibimbob, served in a hot bowl--mine with spicy pork and my companion's with mushrooms, both with brown rice. I doused mine with yummy gochujang, she opted for lemon soy sauce. Everything was terrific."", 'I hope to return when I can, and recommend this little restaurant strongly.']",['C H.'],['\n        11/24/2015\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Food was honestly really great! Only 4 stars because the food was definitely over priced... would love to come back but don't feel like dropping 20$ on a meal that should be 10$ :(""]",['Kris W.'],['\n        1/29/2018\n    '],['4.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Great lunch spot in Clemson. \xa0The homemade ginger ale is very good, a little spicy and not too sweet. \xa0The lemon soy sauce and the homemade hot sauce were also good. \xa0I had the Clemson rice bowl with pork and vegetables with brown rice topped with a fried egg. \xa0The egg is not over easy but is cooked to that consistency with a crisp bottom and a slightly runny yolk, probably accomplished using a cover and steam to finish the top of the egg. \xa0THe rice was also slightly crisp, not crunchy, from the heat of the hot bowl used for service. \xa0 The portion was perfect for a lunch and the pictures in the other reviews reflect the appearance of the food. \xa0This is run by a mother and son and is a smaller restaurant. \xa0Order is taken at the counter and food is brought to your table when ready, cooked to order. Veggies were also cooked tender with a still slight crunch of firmness which complements the textures of the other components. \xa0For my tastes, this was not very spicy, but the sauces made up for it. \xa0Overall a good lunch spot.']",['Tim N.'],['\n        11/4/2016\n    '],['3.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Super amazing place! \xa0This is in a small strip mall in Clemson next to Ruby Tuesday. It's a small place and I bet it's busy at lunch time. I came for dinner on a Friday and it wasn't busy at 7:30. "", 'I was greeted by a very nice Asian lady. She sold me on the ginger ale and it is dreamy! \xa0', 'I had the untried egg roll with spicy pork. Excellent. All fresh ingredients! \xa0The hot sauce is medium plus for me and soy sauce was decent. ', 'I ate the Tiger bowl; it had brown rice, kimchi, spicy pork, avocado and a fried egg on top. It came out in a sizzling hot bowl. This was so fresh and yummy!', 'Wow, so glad I came here! \xa0Have to come back!!']",['Rob B.'],['\n        5/15/2015\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""So delicious. Just moved and I think I've found my spot. I'm not an expert with Korean cuisine but this place makes me want to become one. I ordered the green bowl with broccoli, asparagus, Brussel sprouts, and cabbage. The fried egg was perfect as well as the veggies!! and it all came out in a steaming hot bowl like fajitas. So pretty and delicious and a fun but functional presentation. Scrape the bottom of the bowl for crunchy rice. Just try it. I'll def be back. I also ordered the Korean taco with chicken. The meat was excellent and tender and tasty and the kimchi was sooo yummy and a great twist on the taco. I will definitely be back for the rice bowl though!! Chef was quiet but very congenial and amazing at what he does. A great hole in the wall spot to keep on the frequent list.""]",['Lisa S.'],['\n        10/5/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""I came back for a second time, and this time they had brown rice - 5 stars! I got the Clemson bowl, which had spicy pork and kimchee. The pork wasn't tongue scorching, but had a kick to it, making it enjoyable. Overall, it was a delicious and full lunch.""]",['Denny H.'],"['\n        7/13/2016\n            ', '\n                ', '\n    ', '\n        ', '\n    ', '\n', '\n                ', 'Updated review', '\n            ', '\n    ', '\n            3/1/2016\n            ', '\n                ', 'Previous review', '\n            ', '\n        ']","['5.0 star rating', '4.0 star rating']","['Yolk Asian', 'Kitchen']"
['Amazing fresh flavorful food. \xa0Incredible variety. I was looking for a low carb option and got this tasty salad with veggies and chicken. This place is great for vegetarians & vegans as well.'],['Nicole W.'],['\n        10/11/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Just excellent Korean based Asian fusion. It is a small operation, the owner chef cooks everything himself. So yes you may have to wait but it is so worth it.']",['Lara R.'],['\n        10/14/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['I am so glad we found this place! I ordered the BiBanBob, a delicious rice bowl with veggies, a protein (I chose tofu), pickled veggies, and brown rice. The serving was generous, and the service was wonderful! Would definitely recommend for a healthy, filling, inexpensive, fast meal.']",['Theresa F.'],['\n        9/11/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['So great!!! I got the Hawaiian bowl with chicken and it was amazing. My husband got bibimbap and loved it! Great flavor. I wish we lived closer so we could eat here more often!'],['Jessie H.'],['\n        3/24/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Had lunch here for the first time and I will absolutely be back. The service was polite and fast. The food was extremely fresh and seasoned very well. They have chili sauce and lemon soy on the tables. Not cheap at $10-12 per entree but it was with it'""]",['Scott B.'],['\n        4/13/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['Have been coming here for years. Inexpensive delicious food. Wish we had something like this where we live. Try the Tiger Bowl if you like it a little spicy'],['Barbara K.'],['\n        10/9/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Delicious! As a low carb eater I was worried about the rice, but you can turn it into a salad bowl. I had the tiger with spicy pork, avocado, kimchi, and added broccoli. It's was so good.""]",['K H.'],['\n        4/14/2017\n    '],['4.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""I travel monthly to Clemson for work and always pop in here. My usual is the homemade kombucha and a BiBimBob (assorted veggies and a protein). The meal is simple, healthy, unique, and delicious. For me, what really makes this place extra special is the wonderful, genuine service. The lady at the front is always overly kind and it's much appreciated after a few hours driving!""]",['Danielle D.'],['\n        2/22/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""One of the best restaurants in Clemson, everything is fresh and cooked to order. I'm always impressed that it is run by a single chef in the kitchen!!! With that being said the wait can be long, but hey, who doesn't love a perfectively fried egg on top of some crispy rice and pork belly?!?""]",['Evan A.'],['\n        6/14/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Had high expectations and did look delicious but was over salted, had the bi bin bob salad bowl. Still very good but needed something sweet immediately after because it was so salty. Also was overpriced for the amount that I got. Didn't leave me satisfied.""]",['Kelly S.'],['\n        6/7/2016\n    '],['3.0 star rating'],"['Yolk Asian', 'Kitchen']"
['Ate here two days ago while on a business trip. Both of my bosses and myself have not stopped using the bathroom since. I give two stars because the food tasted great going in...coming out is not as pleasant.'],['Ang M.'],['\n        1/13/2017\n    '],['2.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['While the wait was a little lengthy, and we were already starving to begin with, the dish was perfectly cooked with the beef being just the right size to get some in every bite, the onions were beautifully caramelized while still being juicy, and the fried egg was perfect. An absolute treat!']",['Sorden H.'],['\n        8/22/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Wow! \xa0My first thought is how disappointed I am to have missed this great place on my previous visits! \xa0Thanks to prior Yelpers for the comments or I may get never have noticed it tucked into a strip shopping center. \xa0Very friendly staff, quickly worked up my takeout order. \xa0Tried the beef bowl with broccoli and avocado along with a non-fried \xa0chicken egg roll. \xa0It was fresh, cooked perfectly, and tasted great. \xa0And that fried egg was the perfect addition! \xa0Awesome food at an unbelievable price! \xa0Can't wait to go back and try something different!""]",['Jim D.'],['\n        5/17/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Stopped in for some good ol' bibimbap. He had a big selection of bibimbap combinations, so my husband and I were able to have some traditional bibimbap (spicy pork w/ kimchi) while my teenage boys ordered non-traditional ones w/ a more western twist. In short, we enjoyed it so much, we wiped our bowls clean! But, what I would liked to have had was a little bowl of soup on the side. That would've made the meal even that much better! His homemade iced green tea and ginger ale was really good too, a little bit too sweet for my taste, but his iced coffee was amazing! If I lived in the area, would definitely frequent Yolk!""]",['Jenny C.'],['\n        7/17/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['It was great. Got a rice bowl which is fantastic and the kambucha was bomb! Great small business in the area. Everything homemade and authentic by their great chef'],['Dillan P.'],['\n        7/15/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""I read reviews prior to going here! Glad I went! It was very Good- so many options to try! I had the Tiger Rice bowl which has kimchi, Spicy Pork, and avocado. I also had their homemade ginger ale- you gotta try it! I wish I lived here, I'd make this a frequent place to visit ;-) healthy food!""]",['Phylicia P.'],['\n        11/14/2015\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Love this place! Troy is an amazing cook and takes pride in using the best ingredients in everything he makes. The bowls are amazing but be sure to try the Korean tacos sometime, as well. I've been coming here for years and it's great to see this place thriving.""]",['Tom R.'],['\n        6/16/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""I live in Southern California and was in town visiting Clemson University. When lunch time came around, this restaurant popped up on Yelp. I had to try this place, since I wanted to experience how a southern state does Asian fusion. Wow, I was impressed!! I had the create your bowl with beef and it was delicious! One of the best beef bowls I've ever tasted. I'm now secretly wishing my kid goes to Clemson, so I can come visit often and eat at Yolk Asian Kitchen.""]",['OC K.'],['\n        12/27/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Good selection on the menu. \xa0It took almost 50 min to get our food. \xa0This was irritating because we had to eat quickly to get back to a meeting. On the menu, the dish I ordered did not have onions listed but when I got it, there was a lot of onions which I do not like so that was very disappointing. I was with 2 other people, they liked their dishes pretty well. \xa0Also, the vent hood did not contain the smoke very well. \xa0It was making my eyes burn. \xa0They ended up having to open the doors to let the smoke out.']",['Jeff P.'],['\n        6/13/2017\n    '],['3.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Everything is so delicious here. Had the Korean tacos - (chicken, mushroom and beef), kalbi beef and bi bim bap. Food is well prepared and very good.']",['Kay S.'],['\n        9/5/2015\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['The tiger bowl! Homemade soy. \xa0Homemade kombucha! \xa0Excellent little restaurant. \xa0Cooked to order. \xa0Bowls are piping hot. Served on a plank of wood. \xa0Nice owners. \xa0Small place. \xa0Large servings.'],['Keith C.'],['\n        10/27/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['From the moment you walk in until you walk out you feel at home. Nice cozy atmosphere with huge menu. Food was tasty, really creative and colorful. I would visit again.. and again.']",['Se L.'],['\n        6/8/2015\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['This place rocks! \xa0There are many rice bowl chains active in the Phoenix area where I live, so I had benchmarks to compare when we tried Yolk.', 'Ambience is simple strip mall. \xa0Nothing special. \xa0You are there for the food and the charming hostess and proprietress.', 'These folks have a distinctive product. \xa0Every bowl combination is unique to Yolk. \xa0The slightly runny sunny side up egg on every bowl is a great addition. \xa0Every egg comes out just right.', 'The physical bowls are impressive, weathered, heavy steel, and they come out really hot on wooden planks. \xa0Beware and do not touch! \xa0My son kept yelping when he accidentally rested his wrist on the rim. \xa0The bottom edges of the bowls leave burn marks on the planks.', 'I ordered the Tiger bowl, which features spicy pork, kimchi and avocado slices. \xa0The kimchi is made in house, a sign of quality and commitment. \xa0A great combination. \xa0Our table shared four different bowls and all were terrific. \xa0Many combinations are offered, and you can make up your own from a list of ingredients.', 'There were just three people working on our visit. \xa0Mom/hostess/cashier/kimchi chef/bus girl, and a young man on the stove managing the woks and other cooking gear. \xa0He even got a hand in on busing tables. \xa0They work hard, but the food remains supreme.', 'Yolk is a cut above the Clemson food scene. \xa0Everyone who lives there or passes through should make it a destination. \xa0Lunch or dinner.']",['Scott O.'],['\n        4/27/2015\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['as an asian international, yulk is the best asian place to eat around clemson. their food are all good and it does not has waiters so you dont need to pay tips. waiting time is a con but not a big issue']",['William Z.'],['\n        5/30/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['Very cool little place in Clemson. The food was fantastic and very well cooked. The lady taking the cash @ the register was drop dead gorgeous totally worth the trip. If you like a good healthy meal and you love Asian food this is definitely the place for you.'],['Jake D.'],['\n        10/10/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""We met some friends at Yolk Asian Kitchen. It's not a large place but we found a round table for 4. We all had a rice bowl. I had a bowl with beef, cheese and pork. It came with a fried egg on top. The service was reasonably fast and we all enjoyed our meals.""]",['Bill Y.'],['\n        7/21/2016\n    '],['4.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['We tried Yolk for the first time over the weekend. Heard good things about this place so our expectations were high. We each had a bulgogi taco and the Tiger bowl. The tacos came out first and my impression was ""wow, that\'s small!"" Yeah, it was tasty but could have used more veggies on it. I think the price point is too much for that size taco. Later our bowls came out sizzling hot. Overall the flavor was pretty good, especially with some extra sauce. I kept thinking it was missing something but it didn\'t hit me until later - there was supposed to be pickled radish and carrot but we didn\'t get any. And like the taco, I thought it was a bit small for the price. I\'m not sure what bothered my belly but I was running to the bathroom quite a bit the rest of the day.']",['Tim E.'],['\n        7/18/2016\n    '],['2.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""It's about $11 a bowl, but I think it's worth it. The food is fresh and makes me feel like I'm eating healthier. \xa0I usually get the Orange Bowl - chicken, broccoli, and cheese over brown rice. It's amazing comfort food!! I also enjoy their unsweetened green tea. Definitely a place to try in Clemson, SC.""]",['Rooksie N.'],['\n        7/5/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Legit dol sot bibimbap! I had the bibimbap with tofu last time and I'm looking forward to trying their fusion bowls in the future. There's even a dish with natto ;)"", ""Also, the iced green tea is delicious and they have a great selection of loose leaf hot teas to choose from. I didn't try the homemade ginger ale but overhearing another customer, it sounds like it's also good.""]",['Erin P.'],['\n        10/22/2014\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Oh my gosh.. SO happy we found out about this place. \xa0Probably my new favorite restaurant w/ the most amazing rice bowl I've ever had. \xa0Get the Tiger Bowl and you will be blown away. \xa0Also, the homemade ginger crystal tea is so delicious. \xa0Like a dessert in drink form, but not too sweet where you can't enjoy it with your meal. \xa0Everything was flawless. \xa0Can't wait to eat there again.""]",['Jessica C.'],['\n        1/3/2017\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Hands down some of the best Korean food I have had outside of my mom's home cooking. If you're having a craving for healthy Asian food. Yolk is the way to go!""]",['Joshua T.'],['\n        8/15/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['Wonderful! Home made kombucha and the green tea was delicious. \xa0The food was delicious. The staff were friendly and very accommodating. We actually arrived before they opened and the owner was gracious enough to allow us to sit and wait while they prepared to open.'],['Freda M.'],['\n        4/16/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Absolutely delicious. \xa0So many options, served in a sizzling bowl. \xa0Don't miss this place.""]",['W. Patrick G.'],['\n        8/27/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Awesome! \xa0Had the Tiger rice bowl with beef, kimchi, & avocado. \xa0Excellent. \xa0Tiny place. \xa0Was crowded & thus we had to wait a while for our food. \xa0But worth it!']",['John M.'],['\n        4/23/2016\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
